Video ID,Title,PublishDay,PublishDate,PublishTime,Duration(seconds),Likes,ChannelName,SubscriberCount
shkBvdP3Hx4,THE LAST EVER MEAN COMMENTS?! CHUNKZ & HARRY PINERO,Sunday,5/16/2021,18:00:22,703,86525,Pro:Direct Soccer,818000
h-Lenq6SCsk,CHUNKZ & HARRY PINERO PICK THE ENGLAND TEAM FOR EURO 2020,Sunday,5/23/2021,18:15:00,616,9477,Pro:Direct Soccer,818000
njHcMncO2Gw,"CHUNKZ, HARRY PINERO AND NELLA ROSE DATING ADVICE!!!  | Think Twice | S4 Ep 1",Sunday,5/30/2021,18:00:20,998,38433,Footasylum,2710000
njHcMncO2Gw,"CHUNKZ, HARRY PINERO AND NELLA ROSE DATING ADVICE!!!  | Think Twice | S4 Ep 1",Sunday,5/30/2021,18:00:20,998,38433,Footasylum,2710000
1e3LPRFmRi8,Harry Pinero roasts girl in sidemen tinder,Wednesday,6/16/2021,9:19:47,14,84863,Nel Pawa,533
EQdYBe5gvmA,CHUNKZ AND HARRY PINERO TALK FATHERHOOD NELLA ROSE | Think Twice | S4 Ep 4,Sunday,6/20/2021,18:00:05,1130,24533,Footasylum,2710000
qZP-vTbXIaU,TRANSFORMING HARRY PINERO INTO PAUL POGBA WITH CHUNKZ & HD CUTZ,Tuesday,7/6/2021,18:00:13,358,6774,Pro:Direct Soccer,818000
mq6BbZiN4kI,Harry Pinero's touch???????? #shorts,Thursday,7/8/2021,23:21:59,13,52746,Domclipz,22000
mq6BbZiN4kI,Harry Pinero's touch???????? #shorts,Thursday,7/8/2021,23:21:59,13,52746,Domclipz,22000
1cUmxvqZJP0,CHUNKZ & HARRY PINERO ft. HARRY MAGUIRE | PAVEMENT TO PITCH,Friday,7/9/2021,18:00:02,403,4417,Pro:Direct Soccer,818000
1VfkjtB8mVU,"FILLY, DARKEST AND HARRY PINERO BARBER SHOP (GONE WRONG) | Bad Barber Ep 1",Wednesday,7/21/2021,18:00:01,1240,43651,Footasylum,2710000
XcGqpTC94KY,FILLY SHAVES HEAD BALD!! WITH DARKEST AND HARRY PINERO | Bad Barber Ep 2,Wednesday,7/28/2021,18:00:06,1495,25699,Footasylum,2710000
1PZtynoIK7U,Harry Pinero Funny Moments #1,Monday,8/2/2021,16:14:12,357,4729,WhyzhKakashi,2210
_APkneshVXc,"FILLY, DARKEST AND HARRY PINERO HAIRCUT (FAIL)!!! | Bad Barber Ep 3",Wednesday,8/4/2021,18:00:12,1523,59854,Footasylum,2710000
#NAME?,Untold Stories | Parenthood: ?€?A First Time Father?€? by Harry Pinero,Tuesday,8/10/2021,16:00:01,420,752,Henrie Kwushue,6210
aB0Y-Q7MAA4,"FILLY, DARKEST AND HARRY PINERO THE FINAL HAIRCUTS! | Bad Barber Ep 4",Wednesday,8/11/2021,18:00:00,1166,22708,Footasylum,2710000
7a3XkvIraY0,CHUNKZ & HARRY PINERO BALLERS BARBERS BANTS | PRO:DIRECT THE CUT,Friday,8/13/2021,18:00:02,740,4037,Pro:Direct Soccer,818000
#NAME?,THE FINAL!!! CHUNKZ TESTS DARKEST AND HARRY PINERO'S FRIENDSHIP!! | TruthAsylum | Season 4 EP 4,Sunday,8/22/2021,18:00:01,830,35307,Footasylum,2710000
#NAME?,"$10,000 GUESS THE LYRIC WITH CHUNKZ, AJ SHABEEL & DARKEST MAN",Thursday,8/26/2021,16:00:01,990,93875,Harry Pinero,645000
bUgDwIklnS8,"SPELLING BEE & FREESTYLING WITH FORFEITS FT CHUNKZ,HARRY PINERO AND AJ SHABEEL!!!",Friday,8/27/2021,17:00:27,996,132335,Darkest Man,620000
MEeZMeY0Kuk,HARRY KANE TELLS CHUNKZ & HARRY PINERO BEST SOCCER AID PENALTY SECRETS,Friday,9/3/2021,18:00:12,239,5222,Pro:Direct Soccer,818000
xI9n-9YoagY,"HARRY PINERO MEETS JADON SANCHO, LUKE SHAW AND HARRY MAGUIRE! | Man Utd Assumptions Special",Monday,9/6/2021,15:00:02,796,33231,UMM,181000
qdmPcgahfDA,"Giggs, Burna Boy, Bugzy Malone, DigDat, Harry Pinero & More @ Strawberries & Creem 2021 | Link Up TV",Tuesday,9/28/2021,11:00:17,1641,756,Link Up TV,2170000
fmCfWQ9cNbE,YOUTUBER COOK OFF VS HARRY PINERO!,Saturday,10/16/2021,16:16:53,973,78066,Calfreezy,4190000
UdwkJBZKkY0,Harry Pinero ..VIOLATED???? ft Yung Filly & Chunkz #shorts,Sunday,10/17/2021,17:00:14,61,32279,SIM SIMMA,3710
